Sample time: 1.0 s | File Format: TEMP P1 P2 FREQ X Y VALVES
37.125 0 0 2000.0 645.0 741.0 ['0', '1', '1', '1', '1', '1', '1', '1']
37.0625 0 0 2000.0 641.0 741.0 ['0', '1', '1', '1', '1', '1', '1', '1']
37.0625 0 0 2000.0 641.0 745.0 ['0', '1', '1', '1', '1', '1', '1', '1']
37.0 0 0 2000.0 641.0 747.0 ['0', '1', '1', '1', '1', '1', '1', '1']
36.9375 0 0 2000.0 641.0 743.0 ['0', '1', '1', '1', '1', '1', '1', '1']
36.9375 0 0 2000.0 643.0 745.0 ['0', '1', '1', '1', '1', '1', '1', '1']
36.9375 0 0 2000.0 643.0 743.0 ['0', '0', '0', '0', '0', '0', '0', '0']
36.9375 0 0 2000.0 645.0 743.0 ['0', '0', '0', '0', '0', '0', '0', '0']
36.9375 0 0 2000.0 643.0 747.0 ['0', '0', '0', '0', '0', '0', '0', '0']
37.0625 0 0 2000.0 641.0 743.0 ['0', '0', '0', '0', '0', '0', '0', '0']
37.0 0 0 2000.0 643.0 743.0 ['0', '0', '0', '0', '0', '0', '0', '0']
36.875 0 0 2000.0 641.0 745.0 ['0', '1', '1', '1', '1', '1', '1', '1']
37.0 0 0 2000.0 643.0 743.0 ['0', '1', '1', '1', '1', '1', '1', '1']
36.9375 0 0 2000.0 643.0 741.0 ['0', '1', '1', '1', '1', '1', '1', '1']
37.0 0 0 2000.0 643.0 743.0 ['0', '1', '1', '1', '1', '1', '1', '1']
37.0 0 0 2000.0 643.0 743.0 ['0', '1', '1', '1', '1', '1', '1', '1']
37.0625 0 0 2000.0 641.0 743.0 ['0', '0', '0', '0', '0', '0', '0', '0']
37.0 0 0 2000.0 641.0 741.0 ['0', '0', '0', '0', '0', '0', '0', '0']
37.0 0 0 2000.0 643.0 745.0 ['0', '0', '0', '0', '0', '0', '0', '0']
37.0 0 0 2000.0 643.0 743.0 ['0', '0', '0', '0', '0', '0', '0', '0']
37.0625 0 0 2000.0 645.0 745.0 ['0', '0', '0', '0', '0', '0', '0', '0']
